wavelength,transmission_u,transmission_g,transmission_r,transmission_i,transmission_z,transmission_q
245.0,3.71e-05,3.84e-05,1.07e-05,-4.46e-06,2.73e-05,-4.29e-05
245.5,5.11e-05,2.21e-05,-1.13e-05,-9.33e-06,-5.51e-05,0.000103269
246.0,0.000223889,5.02e-06,-4.81e-06,-2.89e-05,9.63e-05,-3.94e-06
246.5,6.23e-05,7.43e-05,1.1e-05,-2.67e-06,9.68e-05,1.59e-05
247.0,-4.43e-05,1.77e-05,2.26e-05,2.27e-05,0.000133745,2.07e-05
247.5,9.16e-06,5.16e-05,3.07e-05,-6.31e-06,-8e-05,4.37e-05
248.0,-2.71e-05,2.64e-05,4.41e-05,-1.47e-05,2.97e-05,4.97e-05
248.5,-9.92e-05,2.41e-05,2.79e-05,-1.88e-05,0.000131244,8.98e-05
249.0,2.45e-05,3.43e-05,2.52e-05,-1.78e-05,2.35e-05,6.76e-05
249.5,0.000100483,2.75e-05,1.85e-06,4.44e-06,0.000108374,1.46e-05
250.0,-1.29e-05,3.3e-06,-2.89e-05,-9.43e-06,-1.46e-05,9.27e-06
250.5,3.58e-05,2.12e-05,2.17e-06,-1.55e-05,8.47e-05,7.77e-05
251.0,6.16e-05,3.53e-05,-6.46e-06,-8.86e-07,-0.000110219,1.36e-05
251.5,4.54e-05,3.59e-05,-9.56e-06,-3.26e-06,4.19e-05,0.000143515
252.0,5.39e-05,1.5e-05,3.89e-05,9.56e-06,1.55e-06,-0.000130153
252.5,3.83e-05,3.25e-05,2.36e-05,1.96e-05,4.5e-05,8.25e-06
253.0,1.87e-05,3.63e-05,-1.84e-06,1.59e-05,5.4e-05,-8.27e-05
253.5,-1.49e-05,3.08e-05,2.28e-05,-1.22e-05,5.98e-05,0.000142421
254.0,-5.03e-05,1.63e-05,-1.05e-05,-9.55e-09,1.02e-05,2.21e-05
254.5,4.32e-05,3.34e-05,-8.1e-07,-1.23e-05,-2.16e-05,-1.31e-05
255.0,-0.000145577,1.19e-05,7.99e-07,-5.21e-06,-3.16e-06,0.000103666
255.5,5.63e-05,4.05e-05,-6.4e-06,4.06e-06,-6.23e-05,9.8e-05
256.0,-7.1e-05,2.3e-05,2.03e-05,-1.57e-05,9e-05,7.51e-05
256.5,0.000116392,3.12e-05,2.19e-05,-3.33e-06,-4.41e-05,-1.45e-05
257.0,0.000141237,4.2e-05,2.72e-05,2.19e-06,1.01e-05,-1.69e-05
257.5,6.88e-05,6.21e-05,2.46e-05,-1.42e-05,0.000116047,2.93e-05
258.0,-1.81e-05,-2.53e-05,-1.92e-06,-1.12e-05,0.000160228,4.58e-05
258.5,3.72e-05,-8.52e-05,-7.92e-06,-5.51e-06,-1.73e-05,5.87e-05
259.0,-6.5e-05,-3.55e-05,-1.16e-05,3.43e-06,2.26e-05,8.64e-05
259.5,2.85e-06,4.38e-05,6.1e-06,-1.6e-06,2.29e-05,0.000119693
